[2016-02-02T13:51:48+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-02T13:51:48+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-02T14:31:24+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-02T14:31:24+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-02T15:16:01+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-02T15:16:01+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-02T16:31:11+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-02T16:31:12+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-02T16:42:24+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-02T16:42:25+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-04T20:30:15+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-04T20:30:15+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-05T00:46:20+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-05T00:46:21+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-05T18:22:37+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-05T18:22:37+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-05T18:33:04+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-05T18:33:04+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-05T18:37:17+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-05T18:37:17+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-05T18:51:24+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-05T18:51:24+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-05T19:03:16+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-05T19:03:16+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-05T20:36:13+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-05T20:36:13+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-05T23:01:33+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-05T23:01:34+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-06T12:57:21+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-06T12:57:21+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-06T14:09:33+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-06T14:09:33+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-06T16:24:48+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-06T16:24:48+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-07T01:30:42+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-07T01:30:43+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2016-02-07T14:37:46+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2016-02-07T14:37:46+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2016-02-08T00:40:10+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2016-02-08T00:40:11+0100] DFHack 0.42.05-alpha1-0-gcfa66c0 on Linux; cwd md5: 9d43b390de; save: region3; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
