[2018-01-03T14:01:09+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-03T14:01:09+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-03T17:55:05+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-03T17:55:05+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-03T19:47:59+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-03T19:47:59+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-03T23:06:21+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-03T23:06:21+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-04T13:11:12+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-04T13:11:12+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-04T14:11:07+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-04T14:11:07+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-05T09:04:38+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-05T09:04:38+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-05T09:09:58+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-05T09:09:58+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-05T10:48:35+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
[2018-01-05T10:48:35+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_LOADED; game type DWARF_MAIN (0)
[2018-01-05T10:52:46+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_MAP_UNLOADED; game type DWARF_MAIN (0)
[2018-01-05T10:52:46+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_UNLOADED; game type DWARF_MAIN (0)
[2018-01-05T12:39:15+0100] DFHack 0.44.03-beta1-0-g677833ee on Linux; cwd md5: 27d1c9aa05; save: region2; SC_WORLD_LOADED; game type DWARF_MAIN (0)
